X,Y,Z,Amp,Tof
0.5975,-0.1975,0,4.24818,3.104
0.595,-0.1975,0,4.49843,2.24
0.5925,-0.1975,0,4.44349,7.936
0.59,-0.1975,0,4.6144,2.32
0.5875,-0.1975,0,4.24818,11.104
0.585,-0.1975,0,4.27259,2.4
0.5825,-0.1975,0,3.82702,8.128
0.58,-0.1975,0,3.93689,2.672
0.5775,-0.1975,0,3.77209,2.72
0.575,-0.1975,0,3.7904,4.688
0.5725,-0.1975,0,3.99792,2.752
0.57,-0.1975,0,3.72936,2.784
0.5675,-0.1975,0,4.58998,2.8
0.565,-0.1975,0,4.37025,5.984
0.5625,-0.1975,0,3.77209,9.104
0.56,-0.1975,0,4.55336,2.704
0.5575,-0.1975,0,3.58287,4.416
0.555,-0.1975,0,4.17493,10.032
0.5525,-0.1975,0,4.65102,4.336
0.55,-0.1975,0,3.58898,5.984
0.5475,-0.1975,0,4.21766,6.224
0.545,-0.1975,0,3.42418,13.056
0.5425,-0.1975,0,3.86975,3.248
0.54,-0.1975,0,4.1261,6.304
0.5375,-0.1975,0,3.64391,2.784
0.535,-0.1975,0,4.31532,9.424
0.5325,-0.1975,0,3.98572,2.672
0.53,-0.1975,0,3.88806,2.96
0.5275,-0.1975,0,3.77819,2.96
0.525,-0.1975,0,4.57167,3.472
0.5225,-0.1975,0,4.13831,6.528
0.52,-0.1975,0,4.56557,9.856
0.5175,-0.1975,0,4.33363,3.968
0.515,-0.1975,0,4.99283,3.184
0.5125,-0.1975,0,4.73037,7.344
0.51,-0.1975,0,5.02335,3.248
0.5075,-0.1975,0,5.19425,13.296
0.505,-0.1975,0,5.50554,6.304
0.5025,-0.1975,0,5.63372,3.376
0.5,-0.1975,0,5.74969,6.8
0.4975,-0.1975,0,6.06098,6.416
0.495,-0.1975,0,6.01215,3.52
0.4925,-0.1975,0,5.56047,3.568
0.49,-0.1975,0,6.01825,3.584
0.4875,-0.1975,0,6.67745,3.632
0.485,-0.1975,0,6.39668,6.544
0.4825,-0.1975,0,6.77511,3.936
0.48,-0.1975,0,5.98163,6.832
0.4775,-0.1975,0,6.62252,6.672
0.475,-0.1975,0,6.60421,4.016
0.4725,-0.1975,0,7.87378,7.104
0.47,-0.1975,0,8.4109,7.104
0.4675,-0.1975,0,7.23289,3.936
0.465,-0.1975,0,6.70797,6.832
0.4625,-0.1975,0,6.95212,6.816
0.46,-0.1975,0,8.84426,4.272
0.4575,-0.1975,0,7.00095,6.864
0.455,-0.1975,0,7.67235,6.896
0.4525,-0.1975,0,6.87887,6.912
0.45,-0.1975,0,7.76391,4.224
0.4475,-0.1975,0,8.43532,4.448
0.445,-0.1975,0,7.62352,4.448
0.4425,-0.1975,0,8.2461,4.336
0.44,-0.1975,0,8.95413,4.64
0.4375,-0.1975,0,8.70998,4.432
0.435,-0.1975,0,7.53807,4.672
0.4325,-0.1975,0,8.51466,4.736
0.43,-0.1975,0,8.38649,4.752
0.4275,-0.1975,0,8.81985,4.8
0.425,-0.1975,0,8.48415,4.88
0.4225,-0.1975,0,8.87478,4.928
0.42,-0.1975,0,8.42311,4.896
0.4175,-0.1975,0,8.28883,4.976
0.415,-0.1975,0,10.6632,5.04
0.4125,-0.1975,0,9.77203,5.072
0.41,-0.1975,0,9.30815,5.136
0.4075,-0.1975,0,9.30815,5.136
0.405,-0.1975,0,9.9002,5.152
0.4025,-0.1975,0,8.81375,5.248
0.4,-0.1975,0,9.60112,5.28
0.3975,-0.1975,0,9.86358,5.312
0.395,-0.1975,0,9.33866,5.36
0.3925,-0.1975,0,9.67437,5.392
0.39,-0.1975,0,10.2786,5.408
0.3875,-0.1975,0,9.57671,5.472
0.385,-0.1975,0,9.5645,5.536
0.3825,-0.1975,0,10.0162,5.584
0.38,-0.1975,0,10.7913,5.632
0.3775,-0.1975,0,10.9928,5.664
0.375,-0.1975,0,10.4617,5.68
